dem_status;station_eoi_code;station_name;component_code;component_name;component_short_name;zone_objective_code1;zone_code1;zone_name1;zone_objective_code2;zone_code2;zone_name2;measurement_code;meas_conf_group;measurement_start_date;measurement_end_date;measurement_method_type;measurement_technique_principle;measurement_equipment;integration_time_frequency;integration_time_unit;height_sampling_point;length_sampling_line;location_sampling_point;sampling_time;sampling_time_unit;calibration_frequency;calibration_unit;calibration_method;calibration_description;body_or_programme
M;NL00733;Loenen-Eerbeeksedijk;7;Ozone (air);O3;;;;;;;100;100;19930505;20020423;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00444;De Zilk-Vogelaarsdreef;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;100;100;19940427;20110310;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00444;De Zilk-Vogelaarsdreef;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;101;100;20110310;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00738;Wekerom-Riemterdijk;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;100;100;20020423;20110315;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00738;Wekerom-Riemterdijk;7;Ozone (air);O3;human/eco;NL0200;Midden;;;;101;100;20110315;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00929;Valthermond-Noorderdiep;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;100;100;20000205;20110309;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00929;Valthermond-Noorderdiep;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;101;100;20110309;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00742;Nijmegen-Ruyterstraat;7;Ozone (air);O3;;;;;;;100;100;20030513;20100412;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;pavement;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00742;Nijmegen-Ruyterstraat;7;Ozone (air);O3;;;;;;;101;100;20100412;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;pavement;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00937;Groningen-Europaweg;7;Ozone (air);O3;;;;;;;100;100;20030501;20050215;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;4;3;pavement;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00137;Heerlen-Deken Nicolayestraat;7;Ozone (air);O3;human/eco;NL0320;Heerlen/   Kerkrade;;;;100;100;20040819;20110310;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;pavement;10;second;1;day;uv lamp (ozone generator);;
M;NL00137;Heerlen-Deken Nicolayestraat;7;Ozone (air);O3;human/eco;NL0320;Heerlen/   Kerkrade;;;;101;100;20110310;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;3;2;pavement;10;second;1;day;uv lamp (ozone generator);;
M;NL00447;Leiden-Willem de Zwijgerlaan;7;Ozone (air);O3;;;;;;;100;100;20041201;20090326;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;pavement;10;second;1;day;uv lamp (ozone generator);;
M;NL00544;Amsterdam-Prins Bernhardplein;7;Ozone (air);O3;human/eco;NL0210;Amsterdam/Haarlem;;;;100;100;20041201;20110329;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;pavement;10;second;1;day;uv lamp (ozone generator);;
M;NL00544;Amsterdam-Prins Bernhardplein;7;Ozone (air);O3;human/eco;NL0210;Amsterdam/Haarlem;;;;101;100;20110329;20111227;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;3;2;pavement;10;second;1;day;uv lamp (ozone generator);;
M;NL00241;Breda-Bastenakenstraat;7;Ozone (air);O3;human/eco;NL0300;Zuid;;;;100;100;20050221;20110308;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00241;Breda-Bastenakenstraat;7;Ozone (air);O3;human/eco;NL0300;Zuid;;;;101;100;20110308;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;3;2;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00938;Groningen-Nijensteinheerd;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;100;100;20050425;20110225;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49w O3 analyser;1;hour;3;2;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00938;Groningen-Nijensteinheerd;7;Ozone (air);O3;human/eco;NL0100;Noord;;;;101;100;20110225;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;3;2;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00643;Utrecht-Griftpark;7;Ozone (air);O3;;;;;;;100;100;20110218;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;pavement;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00247;Veldhoven-Europalaan;7;Ozone (air);O3;;;;;;;100;100;20110101;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;3;2;free air flow;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
M;NL00442;Dordrecht-Bamendaweg;7;Ozone (air);O3;human/eco;NL0240;Rotterdam/ Dordrecht;;;;100;100;20101203;;Automatic Analyzer;Ultraviolet (UV) photometry;Thermo model 49i O3 analyser;1;hour;4;3;pavement;10;second;1;day;uv lamp (ozone generator);;EU EoI+EU EoI
