GMLID,LocalId,Namespace,Version,NatlStationCode,Name,Municipality,EUStationCode,ActivityBegin,ActivityEnd,Lat,Lon,SRSName,Altitude,AltitudeUnit,AreaClassification,BelongsTo
STA-NL00479,STA-NL00479,NL.RIVM.AQ,,HVH,Hoek v. Holland-Prins Hendrikstraat,Rotterdam,NL00479,1995-08-01 00:00:00+01:00,,51.97194672,4.14166641,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00482,STA-NL00482,NL.RIVM.AQ,,MRK,Europoort-Markweg,Rotterdam,NL00482,2002-07-01 00:00:00+01:00,,51.96111298,4.09000015,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00483,STA-NL00483,NL.RIVM.AQ,,A15,Botlek-Spoortunnel,Rotterdam,NL00483,2008-09-01 00:00:00+01:00,,51.86999893,4.31972218,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00484,STA-NL00484,NL.RIVM.AQ,,BOT,Botlek-Oude Maasweg,Rotterdam,NL00484,1970-01-01 00:00:00+01:00,,51.88888931,4.3125,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00486,STA-NL00486,NL.RIVM.AQ,,PNS,Pernis-Soetemanweg,Rotterdam,NL00486,1970-01-01 00:00:00+01:00,,51.88805771,4.38888884,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00487,STA-NL00487,NL.RIVM.AQ,,RPW,Rotterdam Zuid-Pleinweg,,NL00487,2010-01-01 00:00:00+01:00,,51.89111328,4.48111105,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00488,STA-NL00488,NL.RIVM.AQ,,RZW,Rotterdam Zuid-Zwartewaalstraat,,NL00488,2010-01-01 00:00:00+01:00,,51.89389038,4.48749971,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,
STA-NL00489,STA-NL00489,NL.RIVM.AQ,,RID,Ridderkerk-Hogeweg,,NL00489,2004-07-01 00:00:00+01:00,,51.86888885,4.57472229,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00490,STA-NL00490,NL.RIVM.AQ,,RMB,Rotterdam-Maasboulevard,,NL00490,2010-08-01 00:00:00+01:00,,51.91805649,4.51388884,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00491,STA-NL00491,NL.RIVM.AQ,,RDO,Rotterdam-Oost Sidelinge A13,Rotterdam,NL00491,2001-03-01 00:00:00+01:00,,51.93805695,4.43111086,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
STA-NL00492,STA-NL00492,NL.RIVM.AQ,,RDM,Rotterdam-Vasteland,Rotterdam,NL00492,1979-04-01 00:00:00+01:00,,51.91389084,4.48000002,urn:ogc:def:crs:EPSG:4258,0,m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/unknown,
