"URI","Label","Definition","Notation","StartDate","EndDate","hasProtectionTarget","hasProtectionTarget","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","measurementEquipment","recommendedUnit","recommendedUnit","skos:altLabel","skos:altLabel@bg","skos:scopeNote","skos:scopeNote"
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1129","Benzo(a)pyrene in PM2.5 (air+aerosol)","BaP in PM2.5 - recommended unit: ng/m3","BaP in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"BaP in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/12","Lead (aerosol)","Pb - recommended unit: µg/m3","Pb","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Pb",,"Reciprocal exchange",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/13","Mercury (aerosol)","Hg - recommended unit: ng/m3","Hg","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Hg",,"Reciprocal exchange",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/14","Cadmium (aerosol)","Cd - recommended unit: ng/m3","Cd","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Cd",,"Reciprocal exchange",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1419","Dibenzo(ah)anthracene in PM2.5 (aerosol)","Dibenzo(ah)anthracene in PM2.5 - recommended unit: ng/m3","Dibenzo(ah)anthracene in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Dibenzo(ah)anthracene in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/15","Nickel (aerosol)","Ni - recommended unit: ng/m3","Ni","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Ni",,"Reciprocal exchange",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/16","Chromium (aerosol)","Cr - recommended unit: ng/m3","Cr","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Cr",,"Reciprocal exchange",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1610","Benzo(a)anthracene in PM2.5 (aerosol)","Benzo(a)anthracene in PM2.5 - recommended unit: ng/m3","Benzo(a)anthracene in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Benzo(a)anthracene in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1617","Benzo(b)fluoranthene in PM2.5 (air+aerosol)","Benzo(b)fluoranthene in PM2.5 - recommended unit: ng/m3","Benzo(b)fluoranthene in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Benzo(b)fluoranthene in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1626","Benzo(k)fluoranthene in PM2.5 (aerosol)","Benzo(k)fluoranthene in PM2.5 - recommended unit: ng/m3","Benzo(k)fluoranthene in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Benzo(k)fluoranthene in PM2.5",,,
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1629","calcium in PM2.5 (aerosol)","Ca2+ in PM2.5 - recommended unit: µg/m3","Ca2+ in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Ca2+ in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1631","chloride in PM2.5 (aerosol)","Cl- in PM2.5 - recommended unit: µg/m3","Cl- in PM2.5","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3",,"Cl- in PM2.5",,"2011/850/EU",
"http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1655","indeno_123cd_pyrene in PM2.5 (aerosol)","Indeno-(1,2,3-cd)pyrene in PM2 - recommended unit: ng/m3","Indeno-(1,2,3-cd)pyrene in PM2","2013-09-20","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3",,"Indeno-(1,2,3-cd)pyrene in PM2",,,
